delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,shipment_uid,expected_transit_hours,actual_transit_hours,effective_speed_kmh,sla_variance_hours,is_anomaly_iso,delivery_cost_capped,actual_transit_hours_capped,cost_per_km,cost_per_kg,is_ev,is_adverse_weather,carrier_baseline_reliability,log_delivery_cost,log_distance_km,target_delayed_binary,target_failed_binary,distance_km_standardized,distance_km_minmax,distance_km_robust,package_weight_kg_standardized,package_weight_kg_minmax,package_weight_kg_robust,delivery_cost_standardized,delivery_cost_minmax,delivery_cost_robust,actual_transit_hours_standardized,actual_transit_hours_minmax,actual_transit_hours_robust,cost_per_km_standardized,cost_per_km_minmax,cost_per_km_robust
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,00:00.0,00:00.0,no,delivered,3,1632.7206,DEL-IND-00001,8.0,9.84,30.18,1.84,True,1632.720006,9.84,5.5,34.77,0,0,0.88,7.3986,5.6971,0,0,1.6967,0.9997,0.9799,1.5182,0.9476,0.8733,1.7622,1.0,1.0242,0.0731,0.2603,0.2778,-0.308,0.0073,-0.2238
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,00:00.0,00:00.0,no,delivered,5,640.17,DEL-IND-00002,18.0,6.03,14.86,-11.97,False,640.17,6.03,7.14,13.51,1,0,0.76,6.4633,4.5065,0,0,-0.7035,0.293,-0.4121,1.5481,0.9564,0.8905,-0.5159,0.3543,-0.3043,-0.4827,0.1586,-0.1632,0.0197,0.0312,1.3054
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,00:00.0,00:00.0,no,delivered,4,1448.17,DEL-IND-00003,48.0,9.79,27.94,-38.21,False,1448.17,9.79,5.29,53.86,0,1,0.8,7.2787,5.615,0,0,1.4247,0.9196,0.8221,0.1214,0.5367,0.0699,1.3386,0.8799,0.7772,0.0658,0.2589,0.272,-0.35,0.0042,-0.4196
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,00:00.0,00:00.0,no,delivered,3,1486.57,DEL-IND-00004,8.0,8.38,32.18,0.38,False,1486.57,8.38,5.51,117.14,1,0,0.85,7.3049,5.601,0,0,1.3808,0.9066,0.7966,-0.8669,0.2461,-0.4986,1.4267,0.9049,0.8286,-0.1399,0.2213,0.1088,-0.306,0.0074,-0.2145
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,00:00.0,00:00.0,no,delivered,4,1394.56,DEL-IND-00005,48.0,7.84,32.74,-40.16,False,1394.56,7.84,5.43,37.67,0,1,0.85,7.2411,5.5518,0,0,1.2303,0.8624,0.7094,0.8264,0.7441,0.4754,1.2155,0.8451,0.7054,-0.2187,0.2069,0.0463,-0.322,0.0063,-0.289
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,00:00.0,00:00.0,yes,delayed,3,391.45,DEL-IND-00006,18.0,7.67,6.31,-10.33,False,391.45,7.67,8.09,11.81,1,1,0.84,5.9724,3.9,1,0,-1.1803,0.1526,-0.6886,0.5571,0.6649,0.3205,-1.0867,0.1924,-0.6372,-0.2435,0.2023,0.0266,0.2096,0.0451,2.1911
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,00:00.0,00:00.0,no,delivered,3,1222.87,DEL-IND-00007,8.0,7.15,27.73,-0.85,False,1222.87,7.15,6.17,27.93,0,0,0.88,7.1098,5.2948,0,0,0.5545,0.6634,0.3174,1.2976,0.8827,0.7464,0.8215,0.7334,0.4756,-0.3193,0.1885,-0.0336,-0.1741,0.0171,0.4009
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,00:00.0,00:00.0,no,delivered,3,800.89,DEL-IND-00008,8.0,5.36,21.38,-2.64,False,800.89,5.36,6.99,18.79,0,0,0.76,6.687,4.7501,0,0,-0.4142,0.3782,-0.2443,1.2168,0.859,0.7,-0.147,0.4588,-0.0892,-0.5804,0.1407,-0.2407,-0.0103,0.0291,1.1655
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,00:00.0,00:00.0,no,delivered,5,854.18,DEL-IND-00009,8.0,4.66,30.56,-3.34,False,854.18,4.66,6.0,60.75,0,0,0.86,6.7513,4.9656,0,0,-0.0925,0.4729,-0.0577,-0.7715,0.2741,-0.4438,-0.0247,0.4935,-0.0179,-0.6825,0.122,-0.3218,-0.2081,0.0146,0.2424
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,00:00.0,00:00.0,no,delivered,5,423.34,DEL-IND-00010,8.0,2.79,16.88,-5.21,False,423.34,2.79,8.99,14.46,0,1,0.88,6.0505,3.8733,0,0,-1.1954,0.1482,-0.6973,0.2877,0.5857,0.1655,-1.0135,0.2132,-0.5946,-0.9553,0.0721,-0.5382,0.3894,0.0583,3.0303
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,00:00.0,00:00.0,no,delivered,4,1632.15,DEL-IND-00011,8.0,11.33,25.88,3.33,False,1632.15,11.33,5.57,74.02,0,0,0.87,7.3983,5.6843,0,0,1.6527,0.9867,0.9544,-0.2155,0.4377,-0.1239,1.7608,0.9996,1.0234,0.2904,0.3001,0.4502,-0.294,0.0083,-0.1585
